budget_id,room_member_id,budget_amount,submitted_at
500001,300001,38000,2026-01-01 11:07:43
500002,300002,34000,2026-01-01 10:55:43
500003,300003,38000,2026-01-01 10:58:01
500004,300004,42000,2026-01-01 11:09:01
500005,300005,36000,2026-01-01 10:52:01
500006,300006,11000,2026-01-01 10:39:01
500007,300007,42000,2026-01-01 11:07:51
500008,300008,24000,2026-01-01 10:40:51
500009,300009,31000,2026-01-01 10:58:48
500010,300010,27000,2026-01-01 11:09:48
500011,300011,35000,2026-01-01 11:22:51
500012,300012,40000,2026-01-01 11:27:51
500013,300013,35000,2026-01-01 11:04:51
500014,300014,24000,2026-01-01 11:34:51
500015,300015,22000,2026-01-01 11:33:40
500016,300016,38000,2026-01-01 11:30:40
500017,300017,46000,2026-01-01 11:55:40
500018,300018,41000,2026-01-01 11:47:40
500019,300019,36000,2026-01-01 11:30:40
500020,300020,18000,2026-01-01 11:16:05
500021,300022,35000,2026-01-01 11:48:05
500022,300023,34000,2026-01-01 11:35:05
500023,300024,45000,2026-01-01 11:48:13
500024,300025,11000,2026-01-01 11:42:13
500025,300026,28000,2026-01-01 11:41:13
500026,300027,39000,2026-01-01 11:21:13
500027,300028,36000,2026-01-01 11:51:13
500028,300029,34000,2026-01-01 12:23:17
500029,300030,37000,2026-01-01 12:27:17
500030,300031,46000,2026-01-01 12:04:17
500031,300032,35000,2026-01-01 12:40:25
500032,300033,46000,2026-01-01 12:36:25
500033,300034,15000,2026-01-01 12:17:25
500034,300035,29000,2026-01-01 12:12:25
500035,300036,36000,2026-01-01 11:56:25
500036,300037,16000,2026-01-01 12:29:15
500037,300038,20000,2026-01-01 12:31:15
500038,300039,14000,2026-01-01 12:51:15
500039,300040,41000,2026-01-01 12:41:15
500040,300042,12000,2026-01-01 12:41:08
500041,300043,39000,2026-01-01 12:41:08
500042,300044,35000,2026-01-01 12:04:08
500043,300045,18000,2026-01-01 12:45:08
500044,300046,38000,2026-01-01 12:36:27
500045,300047,20000,2026-01-01 13:04:27
500046,300048,17000,2026-01-01 12:49:27
500047,300049,10000,2026-01-01 13:10:27
500048,300050,23000,2026-01-01 12:56:27
500049,300051,43000,2026-01-01 13:17:34
500050,300052,34000,2026-01-01 13:03:34
500051,300053,13000,2026-01-01 13:05:34
500052,300054,11000,2026-01-01 12:54:00
500053,300055,22000,2026-01-01 13:35:00
500054,300056,16000,2026-01-01 13:45:00
500055,300057,30000,2026-01-01 13:22:32
500056,300058,44000,2026-01-01 13:07:32
500057,300060,34000,2026-01-01 12:59:59
500058,300061,27000,2026-01-01 13:53:59
500059,300062,48000,2026-01-01 13:36:52
500060,300064,18000,2026-01-01 13:51:27
500061,300065,30000,2026-01-01 14:22:27
500062,300066,48000,2026-01-01 13:43:27
500063,300067,24000,2026-01-01 14:01:27
500064,300068,29000,2026-01-01 13:34:28
500065,300069,15000,2026-01-01 13:38:28
500066,300070,19000,2026-01-01 13:46:28
500067,300071,31000,2026-01-01 13:48:40
500068,300072,12000,2026-01-01 14:23:40
500069,300073,28000,2026-01-01 14:40:40
500070,300074,25000,2026-01-01 14:56:42
500071,300075,34000,2026-01-01 14:28:42
500072,300076,14000,2026-01-01 14:31:42
500073,300077,50000,2026-01-01 13:46:42
500074,300078,23000,2026-01-01 14:27:12
500075,300079,29000,2026-01-01 14:10:12
500076,300080,50000,2026-01-01 14:22:41
500077,300081,33000,2026-01-01 14:23:41
500078,300082,42000,2026-01-01 14:48:41
500079,300083,40000,2026-01-01 14:23:41
500080,300084,29000,2026-01-01 14:36:41
500081,300085,28000,2026-01-01 14:44:28
500082,300086,18000,2026-01-01 15:01:28
500083,300087,10000,2026-01-01 14:12:28
500084,300088,33000,2026-01-01 15:03:55
500085,300089,14000,2026-01-01 15:00:55
500086,300090,34000,2026-01-01 14:55:55
500087,300091,32000,2026-01-01 14:56:55
500088,300092,13000,2026-01-01 15:08:55
500089,300093,33000,2026-01-01 15:32:31
500090,300094,19000,2026-01-01 15:03:31
500091,300095,26000,2026-01-01 14:45:31
500092,300096,34000,2026-01-01 15:21:24
500093,300097,43000,2026-01-01 14:50:24
500094,300098,34000,2026-01-01 15:44:03
500095,300099,15000,2026-01-01 15:20:03
500096,300100,19000,2026-01-01 15:14:03
500097,300101,29000,2026-01-01 14:58:03
500098,300103,21000,2026-01-01 15:52:58
500099,300104,17000,2026-01-01 15:40:58
500100,300105,13000,2026-01-01 15:49:58
500101,300106,36000,2026-01-01 15:32:58
500102,300107,50000,2026-01-01 15:33:58
500103,300108,40000,2026-01-01 15:44:04
500104,300109,27000,2026-01-01 15:55:04
500105,300111,34000,2026-01-01 15:44:04
500106,300112,41000,2026-01-01 15:44:04
500107,300113,25000,2026-01-01 15:49:42
500108,300114,32000,2026-01-01 16:12:42
500109,300115,35000,2026-01-01 16:16:42
500110,300116,48000,2026-01-01 15:23:42
500111,300117,25000,2026-01-01 16:01:42
500112,300118,30000,2026-01-01 15:53:08
500113,300119,30000,2026-01-01 16:34:08
500114,300120,49000,2026-01-01 16:28:08
500115,300121,40000,2026-01-01 16:37:08
500116,300122,34000,2026-01-01 16:07:08
500117,300123,29000,2026-01-01 16:31:36
500118,300124,39000,2026-01-01 16:13:36
500119,300125,15000,2026-01-01 16:16:56
500120,300126,30000,2026-01-01 16:15:56
500121,300127,40000,2026-01-01 16:36:56
500122,300128,50000,2026-01-01 16:49:56
500123,300129,24000,2026-01-01 16:32:56
500124,300130,34000,2026-01-01 17:06:42
500125,300131,37000,2026-01-01 17:14:42
500126,300132,31000,2026-01-01 16:55:13
500127,300133,46000,2026-01-01 16:32:13
500128,300134,22000,2026-01-01 17:27:54
500129,300135,33000,2026-01-01 17:31:54
500130,300136,48000,2026-01-01 17:09:54
500131,300137,39000,2026-01-01 16:53:54
500132,300138,24000,2026-01-01 17:13:54
500133,300139,12000,2026-01-01 17:30:40
500134,300140,17000,2026-01-01 17:05:40
500135,300142,34000,2026-01-01 16:51:40
500136,300143,24000,2026-01-01 17:43:44
500137,300144,21000,2026-01-01 17:54:44
500138,300145,20000,2026-01-01 17:03:44
500139,300146,43000,2026-01-01 17:34:23
500140,300147,45000,2026-01-01 17:17:23
500141,300148,47000,2026-01-01 18:06:23
500142,300149,29000,2026-01-01 17:37:23
500143,300150,40000,2026-01-01 17:18:23
500144,300151,10000,2026-01-01 17:39:56
500145,300152,19000,2026-01-01 17:41:56
500146,300154,31000,2026-01-01 17:59:59
500147,300155,35000,2026-01-01 17:44:59
500148,300156,29000,2026-01-01 18:05:59
500149,300157,34000,2026-01-01 18:18:59
500150,300158,38000,2026-01-01 17:59:02
500151,300159,41000,2026-01-01 18:00:02
500152,300160,47000,2026-01-01 17:52:02
500153,300162,40000,2026-01-01 18:09:02
500154,300163,44000,2026-01-01 18:06:55
500155,300164,45000,2026-01-01 18:30:55
500156,300165,14000,2026-01-01 18:14:55
500157,300166,17000,2026-01-01 18:08:32
500158,300167,45000,2026-01-01 18:04:32
500159,300168,20000,2026-01-01 18:11:16
500160,300169,15000,2026-01-01 17:54:16
500161,300170,29000,2026-01-01 18:05:32
500162,300172,41000,2026-01-01 18:58:32
500163,300173,25000,2026-01-01 18:09:59
500164,300174,23000,2026-01-01 18:40:59
500165,300175,27000,2026-01-01 18:25:59
500166,300176,20000,2026-01-01 18:53:58
500167,300177,37000,2026-01-01 19:21:58
500168,300178,22000,2026-01-01 19:31:44
500169,300179,42000,2026-01-01 19:30:44
500170,300180,25000,2026-01-01 18:59:25
500171,300181,45000,2026-01-01 19:23:25
500172,300182,31000,2026-01-01 19:36:25
500173,300183,27000,2026-01-01 18:43:25
500174,300184,29000,2026-01-01 19:39:20
500175,300185,32000,2026-01-01 19:46:20
500176,300186,48000,2026-01-01 19:00:20
500177,300187,34000,2026-01-01 19:21:20
