receipt_id,room_no,room_member_id,receipt_type,input_method,image_url,image_hash,ocr_status,store_name,total_amount,amount,receipt_issued_at,address,center_lat,center_lng,split_group_id,good_price_store_id,good_price_store_name,good_price_store_address,good_price_matched,good_price_verified_at,confirmed,created_at,updated_at
700001,686,302708,SPLIT,MANUAL,,,MANUAL,해운대돼지국밥,7800,7800,2024-08-24 18:43:36,부산 해운대구 중동1로 5,35.1602427,129.1605711,800161,GP_BUSAN_KR_002,해운대돼지국밥,부산 해운대구 중동1로 5,1,2024-08-24 19:54:36,1,2024-08-24 19:08:36,2024-08-24 19:49:36
700002,686,302709,SPLIT,MANUAL,,,MANUAL,해운대돼지국밥,9000,9000,2024-08-24 18:21:23,부산 해운대구 중동1로 5,35.1589809,129.1609895,800161,,,,0,,1,2024-08-24 18:25:23,2024-08-24 19:01:23
700003,686,302706,SPLIT,MANUAL,,,MANUAL,해운대돼지국밥,8600,8600,2024-08-24 18:52:40,부산 해운대구 중동1로 5,35.1601868,129.1598279,800161,GP_BUSAN_KR_002,해운대돼지국밥,부산 해운대구 중동1로 5,1,2024-08-24 20:43:40,1,2024-08-24 19:17:40,2024-08-24 19:41:40
700004,686,302707,SPLIT,MANUAL,,,MANUAL,해운대돼지국밥,9900,9900,2024-08-24 19:34:04,부산 해운대구 중동1로 5,35.1598987,129.1600775,800161,,,,0,,1,2024-08-24 19:39:04,2024-08-24 20:30:04
700005,503,301968,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700005.jpg,21fbf62e8ef277ce18af45e610360523ced384a8824fb385a462522393e4cab6,SUCCESS,해운대초밥,13900,13900,2024-06-06 02:06:36,부산 해운대구 해운대해변로 100,35.1581704,129.1594057,800166,,,,0,,1,2024-06-06 02:29:36,2024-06-06 02:55:36
700006,503,301969,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700006.jpg,a87b1c3f4e37b2da342b1bcfc2d942975d28f308a7a72f9e88ed7bdf95d6342a,SUCCESS,해운대초밥,13500,13500,2024-06-05 23:32:39,부산 해운대구 해운대해변로 100,35.1593975,129.1611335,800166,,,,0,,1,2024-06-05 23:44:39,2024-06-06 00:19:39
700007,503,301965,SPLIT,MANUAL,,,MANUAL,해운대초밥,10800,10800,2024-06-06 00:06:01,부산 해운대구 해운대해변로 100,35.1595627,129.1602422,800166,,,,0,,1,2024-06-06 00:16:01,2024-06-06 00:45:01
700008,503,301967,SPLIT,MANUAL,,,MANUAL,해운대초밥,10100,10100,2024-06-06 00:25:30,부산 해운대구 해운대해변로 100,35.1590916,129.1596862,800166,,,,0,,1,2024-06-06 00:52:30,2024-06-06 01:06:30
700009,503,301964,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700009.jpg,f087d30441cf797026f6311ec920b4badf4add507b4eba7553f3de259b3a3852,SUCCESS,해운대초밥,13100,13100,2024-06-06 02:48:08,부산 해운대구 해운대해변로 100,35.1593749,129.161141,800166,GP_BUSAN_JP_001,해운대초밥,부산 해운대구 해운대해변로 100,1,2024-06-06 03:01:08,1,2024-06-06 02:49:08,2024-06-06 03:33:08
700010,387,301521,SPLIT,MANUAL,,,MANUAL,마포라멘,9500,9500,2024-09-15 06:19:47,서울 마포구 월드컵북로 20,37.5635308,126.9249395,800036,,,,0,,1,2024-09-15 06:22:47,2024-09-15 06:22:47
700011,387,301519,SPLIT,MANUAL,,,MANUAL,마포라멘,10100,10100,2024-09-15 05:22:29,서울 마포구 월드컵북로 20,37.5634451,126.9248879,800036,,,,0,,1,2024-09-15 05:46:29,2024-09-15 06:19:29
700012,387,301522,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700012.jpg,dd930e9ffb003c7a3e237d4e3099a3ce090296eac964df9cf7d6c5a17bc4968e,SUCCESS,마포라멘,7800,7800,2024-09-15 04:13:10,서울 마포구 월드컵북로 20,37.5623207,126.9247928,800036,GP_MAPO_JP_001,마포라멘,서울 마포구 월드컵북로 20,1,2024-09-15 05:17:10,1,2024-09-15 04:23:10,2024-09-15 04:30:10
700013,555,302171,SPLIT,MANUAL,,,MANUAL,광주우동,6600,6600,2024-12-04 07:50:54,광주 서구 상무민주로 14,35.1507551,126.8519021,800150,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2024-12-04 09:35:54,1,2024-12-04 07:58:54,2024-12-04 08:25:54
700014,555,302170,SPLIT,MANUAL,,,MANUAL,광주우동,6200,6200,2024-12-04 03:19:12,광주 서구 상무민주로 14,35.151492,126.8511186,800150,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2024-12-04 05:16:12,1,2024-12-04 03:32:12,2024-12-04 04:11:12
700015,555,302169,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700015.jpg,a537b916f9c82e1a8505a48fcf7ee3c1986a9504ed8f55fe18ee104dc97126f2,SUCCESS,광주우동,7900,7900,2024-12-04 02:05:39,광주 서구 상무민주로 14,35.1501093,126.850743,800150,,,,0,,1,2024-12-04 02:32:39,2024-12-04 03:16:39
700016,555,302171,SPLIT,MANUAL,,,MANUAL,광주우동,6400,6400,2024-12-04 05:15:10,광주 서구 상무민주로 14,35.1515576,126.8506709,800150,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2024-12-04 05:55:10,1,2024-12-04 05:22:10,2024-12-04 05:39:10
700017,555,302170,SPLIT,MANUAL,,,MANUAL,광주우동,6400,6400,2024-12-04 03:57:37,광주 서구 상무민주로 14,35.151513,126.8506182,800150,GP_GWANGJU_JP_001,광주우동,광주 서구 상무민주로 14,1,2024-12-04 05:17:37,1,2024-12-04 04:03:37,2024-12-04 04:37:37
700018,56,300199,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700018.jpg,17eba71b67201f6daa784b5b73949cef5dc0f9a9b9403f6090562d2a9df1fe1c,SUCCESS,마포짬뽕,6600,6600,2024-01-16 09:31:41,서울 마포구 신촌로 10,37.556887,126.936017,800181,,,,0,,1,2024-01-16 09:50:41,2024-01-16 10:26:41
700019,56,300200,SPLIT,MANUAL,,,MANUAL,마포짬뽕,8000,8000,2024-01-16 12:00:01,서울 마포구 신촌로 10,37.5557813,126.9367117,800181,,,,0,,1,2024-01-16 12:25:01,2024-01-16 12:43:01
700020,56,300202,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700020.jpg,acd37ddfdd30ebf4b57d3377fbcd019dc28916749420184a6c91015447a0612d,SUCCESS,마포짬뽕,6800,6800,2024-01-16 09:55:59,서울 마포구 신촌로 10,37.5565501,126.9360474,800181,GP_MAPO_CN_001,마포짬뽕,서울 마포구 신촌로 10,1,2024-01-16 11:46:59,1,2024-01-16 10:18:59,2024-01-16 11:01:59
700021,96,300352,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700021.jpg,30cf1ec843e14287c132cb2044fe25a16fc44199141a4d65201a5aca6cb201f0,SUCCESS,수원돈부리,9800,9800,2024-09-18 19:41:51,경기 수원시 팔달구 수원로 20,37.2863084,127.0135377,800087,GP_SUWON_JP_001,수원돈부리,경기 수원시 팔달구 수원로 20,1,2024-09-18 20:11:51,1,2024-09-18 19:44:51,2024-09-18 20:40:51
700022,96,300349,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700022.jpg,c2acbad905541bfa18adcc3f90c8077492e1f4ef52440f62a22a834dc6556b28,SUCCESS,수원돈부리,9700,9700,2024-09-18 20:02:53,경기 수원시 팔달구 수원로 20,37.285678,127.0127206,800087,,,,0,,1,2024-09-18 20:19:53,2024-09-18 21:05:53
700023,96,300350,SPLIT,MANUAL,,,MANUAL,수원돈부리,10100,10100,2024-09-18 19:24:15,경기 수원시 팔달구 수원로 20,37.2854176,127.0132208,800087,,,,0,,1,2024-09-18 19:26:15,2024-09-18 20:23:15
700024,96,300353,SPLIT,MANUAL,,,MANUAL,수원돈부리,9800,9800,2024-09-18 16:09:53,경기 수원시 팔달구 수원로 20,37.2850299,127.0135326,800087,,,,0,,1,2024-09-18 16:14:53,2024-09-18 16:50:53
700025,96,300351,SPLIT,MANUAL,,,MANUAL,수원돈부리,10500,10500,2024-09-18 18:17:59,경기 수원시 팔달구 수원로 20,37.2851882,127.0126274,800087,,,,0,,1,2024-09-18 18:35:59,2024-09-18 19:30:59
700026,589,302294,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700026.jpg,889d53dc05542097b0e838f226628621f25efdebb3bf567d35f691bf821acd25,PENDING,대전라멘,7600,7600,2025-04-26 06:20:22,대전 서구 한밭대로 30,36.351957,127.3865263,800029,GP_DAEJEON_JP_001,대전라멘,대전 서구 한밭대로 30,1,2025-04-26 07:26:22,1,2025-04-26 06:32:22,2025-04-26 06:54:22
700027,589,302296,SPLIT,MANUAL,,,MANUAL,대전라멘,7700,7700,2025-04-26 06:40:31,대전 서구 한밭대로 30,36.3507269,127.3855733,800029,,,,0,,1,2025-04-26 07:10:31,2025-04-26 07:18:31
700028,589,302295,SPLIT,MANUAL,,,MANUAL,대전라멘,10000,10000,2025-04-26 05:34:38,대전 서구 한밭대로 30,36.3516897,127.3869041,800029,GP_DAEJEON_JP_001,대전라멘,대전 서구 한밭대로 30,1,2025-04-26 06:31:38,1,2025-04-26 06:02:38,2025-04-26 06:41:38
700029,589,302294,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700029.jpg,950334fa5f63d7367c335f8b2e9d33bdbd4685eb85e6df7a9d1777f43f9b8ab7,SUCCESS,대전라멘,9300,9300,2025-04-26 04:05:44,대전 서구 한밭대로 30,36.3519549,127.3851141,800029,,,,0,,1,2025-04-26 04:27:44,2025-04-26 04:53:44
700030,389,301530,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700030.jpg,d342829cb649d59f765b26ca4b71054f6f2828a82770941c22b224272c626c85,FAILED,수원토스트,3100,3100,2024-05-09 11:25:16,경기 수원시 팔달구 매산로 11,37.2873383,127.0136979,800217,,,,0,,1,2024-05-09 11:35:16,2024-05-09 11:59:16
700031,389,301528,SPLIT,MANUAL,,,MANUAL,수원토스트,3800,3800,2024-05-09 13:04:26,경기 수원시 팔달구 매산로 11,37.2862167,127.0149191,800217,GP_SUWON_ETC_001,수원토스트,경기 수원시 팔달구 매산로 11,1,2024-05-09 14:04:26,1,2024-05-09 13:25:26,2024-05-09 13:59:26
700032,389,301529,SPLIT,MANUAL,,,MANUAL,수원토스트,3500,3500,2024-05-09 12:54:47,경기 수원시 팔달구 매산로 11,37.2872087,127.0134253,800217,GP_SUWON_ETC_001,수원토스트,경기 수원시 팔달구 매산로 11,1,2024-05-09 14:38:47,1,2024-05-09 13:01:47,2024-05-09 13:26:47
700033,81,300297,SPLIT,MANUAL,,,MANUAL,성동중화요리,7300,7300,2025-08-03 06:15:28,서울 성동구 고산자로 22,37.5622022,127.0397606,800143,GP_SEONGDONG_CN_001,성동중화요리,서울 성동구 고산자로 22,1,2025-08-03 08:08:28,1,2025-08-03 06:20:28,2025-08-03 07:00:28
700034,81,300299,SPLIT,MANUAL,,,MANUAL,성동중화요리,8300,8300,2025-05-11 00:08:28,서울 성동구 고산자로 22,37.5610459,127.0405172,800143,GP_SEONGDONG_CN_001,성동중화요리,서울 성동구 고산자로 22,1,2025-05-11 01:12:28,1,2025-05-11 00:34:28,2025-05-11 01:01:28
700035,81,300298,SPLIT,MANUAL,,,MANUAL,성동중화요리,7100,7100,2025-02-28 19:45:40,서울 성동구 고산자로 22,37.5618101,127.0395967,800143,GP_SEONGDONG_CN_001,성동중화요리,서울 성동구 고산자로 22,1,2025-02-28 21:26:40,1,2025-02-28 19:54:40,2025-02-28 20:34:40
700036,81,300301,SPLIT,GALLERY,https://storage.beggar.dev/receipts/700036.jpg,e1fe23972734cef80d2b25146e9b6cac2a4407383a41ecd8bb0df3cbcba7e1ed,SUCCESS,성동중화요리,8500,8500,2025-07-19 20:31:25,서울 성동구 고산자로 22,37.5627899,127.0398571,800143,GP_SEONGDONG_CN_001,성동중화요리,서울 성동구 고산자로 22,1,2025-07-19 22:17:25,1,2025-07-19 20:59:25,2025-07-19 21:25:25
700037,81,300300,SPLIT,MANUAL,,,MANUAL,성동중화요리,7800,7800,2025-03-21 20:08:16,서울 성동구 고산자로 22,37.562071,127.0405677,800143,,,,0,,1,2025-03-21 20:14:16,2025-03-21 20:26:16
700038,677,302672,SPLIT,CAMERA,https://storage.beggar.dev/receipts/700038.jpg,0daedc6e8d9b4c986e4fc342846284e2592684480d23ff0c45edc8b8657478d1,SUCCESS,마포버거,9200,9200,2025-05-12 05:48:27,서울 마포구 양화로 55,37.5533281,126.918647,800207,GP_MAPO_WS_001,마포버거,서울 마포구 양화로 55,1,2025-05-12 07:31:27,1,2025-05-12 06:06:27,2025-05-12 06:56:27
700039,677,302671,SPLIT,MANUAL,,,MANUAL,마포버거,8700,8700,2026-01-05 08:56:36,서울 마포구 양화로 55,37.5526328,126.918584,800207,,,,0,,1,2026-01-05 08:57:36,2026-01-05 09:06:36
700040,677,302672,SPLIT,MANUAL,,,MANUAL,마포버거,9800,9800,2026-03-16 04:16:00,서울 마포구 양화로 55,37.553665,126.9172514,800207,GP_MAPO_WS_001,마포버거,서울 마포구 양화로 55,1,2026-03-16 05:23:00,1,2026-03-16 04:25:00,2026-03-16 04:58:00
700041,677,302671,SPLIT,MANUAL,,,MANUAL,마포버거,9900,9900,2025-07-19 05:11:49,서울 마포구 양화로 55,37.5530922,126.9173322,800207,,,,0,,1,2025-07-19 05:13:49,2025-07-19 05:26:49
